剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠,sum,剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠
480,280,313,161,137,225,183,165,46,131,17,33,21,2,146,136,9,26,2511,0.191158901,0.111509359,0.124651533,0.064117881,0.054559936,0.089605735,0.072879331,0.065710872,0.018319395,0.05217045,0.006770211,0.013142174,0.008363202,0.000796495,0.058144166,0.054161689,0.003584229,0.01035444
555,198,101,87,42,9,103,155,24,206,39,26,11,9,32,35,16,5,1653,0.335753176,0.119782214,0.061101028,0.052631579,0.025408348,0.005444646,0.06231095,0.093768905,0.014519056,0.1246219,0.023593466,0.015728978,0.006654567,0.005444646,0.019358742,0.021173624,0.009679371,0.003024803
525,374,394,250,104,72,105,224,48,163,29,37,40,10,91,94,10,28,2598,0.202078522,0.14395689,0.151655119,0.096227868,0.040030793,0.027713626,0.040415704,0.086220169,0.018475751,0.06274057,0.011162433,0.014241724,0.015396459,0.003849115,0.035026944,0.036181678,0.003849115,0.010777521
185,27,13,82,2,9,16,15,2,18,16,3,5,0,12,7,8,2,422,0.438388626,0.063981043,0.030805687,0.194312796,0.004739336,0.021327014,0.037914692,0.035545024,0.004739336,0.042654028,0.037914692,0.007109005,0.011848341,0,0.028436019,0.016587678,0.018957346,0.004739336
412,210,180,200,69,33,44,82,13,97,19,20,30,2,61,61,6,16,1555,0.264951768,0.135048232,0.115755627,0.128617363,0.04437299,0.021221865,0.02829582,0.052733119,0.008360129,0.062379421,0.01221865,0.012861736,0.019292605,0.001286174,0.039228296,0.039228296,0.003858521,0.010289389
714,552,223,331,120,114,120,119,47,93,36,28,34,3,138,120,41,22,2855,0.250087566,0.193345009,0.078108581,0.115936953,0.042031524,0.039929947,0.042031524,0.041681261,0.016462347,0.032574431,0.012609457,0.009807356,0.011908932,0.001050788,0.048336252,0.042031524,0.014360771,0.007705779
669,555,310,415,129,165,58,109,35,86,34,23,22,3,148,138,8,52,2959,0.226089895,0.187563366,0.104765123,0.140250084,0.043595809,0.055762082,0.019601217,0.036836769,0.01182832,0.029063873,0.011490368,0.007772896,0.007434944,0.001013856,0.050016898,0.046637377,0.002703616,0.017573505
253,80,26,111,13,36,22,27,2,25,11,13,10,2,25,16,13,2,687,0.368267831,0.116448326,0.037845706,0.161572052,0.018922853,0.052401747,0.03202329,0.03930131,0.002911208,0.036390102,0.016011645,0.018922853,0.014556041,0.002911208,0.036390102,0.023289665,0.018922853,0.002911208
137,66,10,42,6,29,13,15,1,29,14,8,8,1,17,16,26,0,438,0.312785388,0.150684932,0.02283105,0.095890411,0.01369863,0.066210046,0.029680365,0.034246575,0.002283105,0.066210046,0.03196347,0.01826484,0.01826484,0.002283105,0.038812785,0.03652968,0.059360731,0
395,174,88,273,14,76,38,36,0,47,22,30,32,3,54,50,2,11,1345,0.293680297,0.12936803,0.065427509,0.202973978,0.010408922,0.056505576,0.028252788,0.026765799,0,0.034944238,0.016356877,0.022304833,0.023791822,0.002230483,0.040148699,0.037174721,0.001486989,0.008178439
