0,1,2
你的鸟儿会唱歌,0.419945079,1
家族之苦,0.419945079,1
全职高手之巅峰荣耀,0.419391014,1
当怪物来敲门,0.418684999,1
太阳之子,0.418493988,1
极限职业,0.416763031,1
伸冤人2,0.414647814,1
爱在记忆消逝前,0.414647814,1
女人的碎片,0.414169685,1
间谍之桥,0.413738246,1
孙子从美国来,0.412592141,1
现在去见你,0.407538582,1
银魂,0.405710144,1
又见奈良,0.404758442,1
冈仁波齐,0.403019626,1
只有芸知道,0.402828918,1
云中行走,0.402828918,1
天·火,0.39954251,1
金都,0.398611402,1
我的拳王男友,0.395719687,1
春宵苦短，少女前进吧！,0.39567306,1
上帝之国,0.39567306,1
小男孩,0.395466652,1
克里斯托弗·罗宾,0.390735518,1
罪恶之家,0.384413895,1
印度合伙人,0.383281855,1
公牛历险记,0.38296686,1
犯罪现场,0.379110965,1
航海王之黄金城,0.376451013,1
火影忍者剧场版：博人传,0.373580039,1
赌神,0.37250239,1
国产凌凌漆,0.370464153,1
速度与激情8,0.364776073,1
冰川时代5：星际碰撞,0.361965883,1
冰川时代3,0.361965883,1
假如爱有天意,0.361774872,1
地雷区,0.3576008,1
小Q,0.352636596,1
最好的我们,0.351504887,1
作家的谎言：笔忠诱罪,0.348649773,1
同步,0.348649773,1
多哥,0.341852598,1
证人,0.334156268,1
妇女参政论者,0.331536041,1
巴比龙,0.328693545,1
最长一枪,0.327843281,1
五尺天涯,0.327843281,1
怪胎,0.327397429,1
停尸房收藏,0.324476029,1
哆啦A梦：伴我同行,0.323554789,1
紧急救援,0.321135973,1
养家之人,0.321031812,1
浪矢解忧杂货店,0.321031812,1
你看起来好像很好吃,0.321031812,1
官方机密,0.320195275,1
老妇人,0.320195275,1
危机13小时,0.319790717,1
摇摆狂潮,0.319260096,1
蓝宇,0.318556221,1
叔·叔,0.316918457,1
地心营救,0.316860923,1
濑户内海,0.316225171,1
兰心大剧院,0.315977759,1
无名女尸,0.315089207,1
普罗旺斯的夏天,0.313856539,1
起风了,0.313349776,1
反贪风暴4,0.313349776,1
伦敦一家人,0.310761826,1
怪物之子,0.310761826,1
信笺故事,0.310761826,1
他是龙,0.310761826,1
小戏骨：放开那三国,0.310761826,1
国家破产之日,0.310761826,1
芬妮的旅程,0.310761826,1
一呼一吸,0.307683424,1
灼人秘密,0.307531635,1
王牌保镖,0.306590937,1
学区房72小时,0.306399241,1
追凶十九年,0.304601124,1
遇见你之前,0.303586553,1
神奇队长,0.298984225,1
沉默的证人,0.298984225,1
查理和巧克力工厂,0.298073251,1
没有过不去的年,0.297069953,1
巴霍巴利王2：终结,0.296477322,1
行骗天下JP：浪漫篇,0.296477322,1
以女儿之名,0.296369427,1
黄飞鸿,0.295008206,1
特工,0.294794424,1
独自在夜晚的海边,0.292206475,1
追捕野蛮人,0.292206475,1
浅田家！,0.292206475,1
阿修罗,0.292206475,1
家族之苦3,0.292206475,1
行走距离,0.292206475,1
魔女,0.289497159,1
茶馆,0.288694652,1
将来的事,0.28690921,1
宣告黎明的露之歌,0.28690921,1
天际行者,0.28690921,1
让他们说吧,0.28643108,1
江湖无难事,0.285031202,1
野梨树,0.279733936,1
与神同行2：因与缘,0.279261204,1
小委托人,0.279261204,1
朝花夕誓,0.279261204,1
嗝嗝老师,0.279261204,1
沃伦,0.279261204,1
从邪恶中拯救我,0.27792197,1
跳舞吧！大象,0.275090314,1
看不见的女人,0.275090314,1
亲爱的房客,0.275090314,1
麦路人,0.275090314,1
村戏,0.275090314,1
日光之下,0.275090314,1
狗眼看人心,0.275090314,1
精灵旅社2,0.275043688,1
帝一之国,0.275043688,1
致命弯道,0.275003654,1
裁缝,0.271945564,1
幻爱,0.270872798,1
刻在你心底的名字,0.270872798,1
阿拉姜色,0.265656866,1
花椒之味,0.265656866,1
肌肤,0.265656866,1
我在时间尽头等你,0.264976699,1
最佳导演,0.264628632,1
宠爱,0.264628632,1
莫娣,0.262652482,1
女巫,0.258481592,1
保持沉默,0.258481592,1
猎凶风河谷,0.258050154,1
冒牌上尉,0.25582164,1
半条棉被,0.25582164,1
德黑兰禁忌,0.25554325,1
无名战士,0.25554325,1
羞辱,0.25554325,1
白雪公主和七个小矮人,0.253879264,1
大饿,0.251372361,1
天才捕手,0.24822761,1
僵尸新娘,0.242837051,1
好梦一日游,0.242837051,1
王者,0.196654441,1
零度以下,0.196654441,1
世纪大劫案,0.196654441,1
极盗者,0.196654441,1
替身,0.196654441,1
冰川时代2：融冰之灾,0.186117935,1
海洋奇缘,0.186117935,1
最爽的一天,0.186117935,1
布兰卡和弹吉他的人,0.186117935,1
豪勇七蛟龙,0.186117935,1
秘密花园,0.184346219,1
乡下人的悲歌,0.184346219,1
鬼灭之刃 剧场版 无限列车篇,0.184346219,1
逗爱熊仁镇,0.176788647,1
狼行者,0.175847949,1
发掘,0.175847949,1
爱丽丝梦游仙境2：镜中奇遇记,0.175847949,1
砍人快乐,0.175847949,1
最幸福的季节,0.175847949,1
徐福,0.175847949,1
美国诉比莉·哈乐黛,0.175847949,1
亲爱的她,0.175847949,1
约翰之子,0.175847949,1
野马,0.175847949,1
巴霍巴利王：开端,0.175847949,1
死无对证,0.175847949,1
白牙,0.175847949,1
美人皮,0.175847949,1
命运理发师,0.175847949,1
珍布,0.175847949,1
未怀孕,0.175847949,1
怪兽大学,0.175656938,1
我们的父辈,0.175656938,1
无罪谋杀：科林尼案,0.158932573,1
丘奇先生,0.158932573,1
极品基老伴：完结篇,0.15750638,1
倩女幽魂2：人间道,0.15750638,1
回魂夜,0.15750638,1
三个老枪手,0.157292597,1
漫长的告别,0.157292597,1
犯罪都市,0.157292597,1
逃跑,0.155688092,1
金属之声,0.155688092,1
谢里,0.155688092,1
犹大与黑弥赛亚,0.155688092,1
新秩序,0.155688092,1
午夜天空,0.155688092,1
毕业舞会,0.155688092,1
超新星,0.155688092,1
圣人莫德,0.155688092,1
内战前,0.155688092,1
啊，荒野 后篇,0.151995332,1
啊，荒野 前篇,0.151995332,1
触礁,0.151995332,1
西伯利亚,0.151995332,1
特斯拉,0.151995332,1
在西伯利亚森林中,0.151995332,1
杀戮都市：O,0.151995332,1
萤火之森,0.144347326,1
天上再见,0.144347326,1
过昭关,0.144347326,1
鼠胆英雄,0.144347326,1
发财日记,0.144347326,1
骗子,0.144347326,1
让他走,0.144347326,1
无手的少女,0.144347326,1
肥龙过江,0.144347326,1
龙珠超：布罗利,0.144347326,1
你是凶手,0.144347326,1
触不可及(美版),0.144347326,1
擦一擦你那满腹经纶的道貌岸然,0.144347326,1
云端之上,0.144347326,1
一生有你2019,0.144347326,1
秦明·生死语者,0.144347326,1
回到过去拥抱你,0.144347326,1
少女佳禾,0.144347326,1
一百零八,0.144347326,1
一切如你,0.144347326,1
八子,0.144347326,1
打开心世界,0.14012981,1
老手,0.14012981,1
绿洲,0.137501827,1
碟仙,0.137501827,1
男与女,0.137501827,1
熊出没·狂野大陆,0.137370932,1
千顷澄碧的时代,0.137370932,1
契克,0.134913878,1
完美陌生人(西班牙版),0.134913878,1
季春奶奶,0.134913878,1
我的一级兄弟,0.134913878,1
企鹅公路,0.134913878,1
如晴天，似雨天,0.134913878,1
我不是王毛,0.134913878,1
故事的故事,0.134913878,1
爱与怪物,0.134913878,1
超新约全书,0.134913878,1
老爸102岁,0.134913878,1
蝙蝠侠：龙之魂,0.134913878,1
然后我们跳了舞,0.134913878,1
捍卫者,0.134913878,1
音乐家,0.134913878,1
驭风男孩,0.134913878,1
致所有我曾爱过的男孩,0.134913878,1
灵魂摆渡·黄泉,0.134913878,1
我们的世界,0.134913878,1
利兹与青鸟,0.134913878,1
西葫芦的生活,0.134913878,1
阿薇尔与虚构世界,0.134913878,1
九三年夏天,0.134913878,1
内在美,0.134913878,1
沉默的教室,0.134913878,1
骑士,0.134913878,1
炙热,0.134913878,1
我们的故事,0.134913878,1
青年警察,0.134913878,1
告别前的30分钟,0.134913878,1
丧钟：骑士与龙 大电影,0.134913878,1
一袋弹子,0.134913878,1
小公女,0.134913878,1
精灵王座,0.134913878,1
萤火虫之墓,0.130742988,1
米纳里,0.130742988,1
蜂鸟,0.130742988,1
穷途鼠的奶酪梦,0.130742988,1
末日崩塌,0.130742988,1
佩小姐的奇幻城堡,0.130742988,1
女鬼桥,0.130742988,1
死因无可疑,0.130742988,1
昆虫总动员2——来自远方的后援军,0.130742988,1
日子,0.130742988,1
再见吧！少年,0.130742988,1
六欲天,0.130742988,1
大约在冬季,0.130742988,1
凶宅怪谈,0.130742988,1
酒神小姐,0.130742988,1
冰峰暴,0.130742988,1
我们永不言弃,0.130742988,1
潘多拉,0.130742988,1
她房间里的云,0.130742988,1
马拉萨尼亚32号鬼宅,0.130742988,1
唐顿庄园,0.127738604,1
埃舍尔街的红色邮筒,0.127738604,1
Jose与虎与鱼们,0.127738604,1
新年前夜,0.127738604,1
亚当,0.127738604,1
猎谎者,0.127738604,1
倒霉性爱，发狂黄片,0.127738604,1
海滩的一天,0.127738604,1
不能说的游戏,0.127738604,1
通往春天的列车,0.127738604,1
硬核亨利,0.123136276,1
魔弦传说,0.123136276,1
会计刺客,0.123136276,1
